メンバー,レアリティ,カード名,リンク,入手時,特訓時,ライブ開始,スキル発動,スキル発動(クロスボイス),SP発動
藤島慈,UR,DEEPNESS,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDEEPNESS%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,綴理～！この曲むずいんだけど～！ぐぬぬ...、聴いてる分にはいい曲じゃんって思ってたのに、実際自分でやるとなるとなかなかハード...。まぁやるんだけどね！やったろうじゃん！綴理たちの願いを叶えてあげるよ、この私が！『DEEPNESS』完成させるからね！,,そう、どこまでも熱く。…うん、行こう！,ふふっ、見惚れちゃいな？,慈「私にも似合うでしょ？」瑠璃乃「むしろサイコー！」,これが私の『DEEPNESS』
藤島慈,UR,ジョーショーキリュー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%B7%E3%83%A7%E3%83%BC%E3%82%AD%E3%83%AA%E3%83%A5%E3%83%BC%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,なぁに？ぼーっとして。もしかして、私に見とれちゃった？わかるよ、しょうがない。こんなにいい女と一緒なんて、緊張しちゃうもんね？秋の公園をぶらぶらお散歩デートもいいけど...。ねえ、これからどうする？てか、どうしたい？...あははっ、なーんてね！,,このまま征服したいね、世界！,漢字書けますけど！？「上昇気流」。,慈「つまりウチら最高で～？」瑠璃乃「最強ってこと！！イェーイ！」,また会おうね。ううん、私が会いに行っちゃう！
藤島慈,UR,冬のおくりもの,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%86%AC%E3%81%AE%E3%81%8A%E3%81%8F%E3%82%8A%E3%82%82%E3%81%AE%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,沙知先輩トランプよわーい。蓮ノ空の上下関係って割と緩いんだけどさ、ただ、ランドリーだけは別。いつ行っても割と混んでるからなんとなくだけど先輩優先みたいな雰囲気があって。まあ私は気にしないんだけど、つづこずの二人は律儀だからねー。でもそんな時に沙知先輩がいると便利だったんだよ。懐かしいな。,,プレゼントは、わ・た・し、だよ♪,いい子にしてまーす。,慈「梢サンタさん、プレゼントちょーだい♪」梢「もう...後でね、慈。」,いっぱい愛が集まってきたよ！
藤島慈,UR,Secret Christmas,https://wikiwiki.jp/llll_wiki/%EF%BC%BBSecret%20Christmas%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,あーあ、めぐ党さんのみんな、どうしてるかな…？ネット禁止令とか、ほんとサイアク。全部、これからだってのに…。いいや、諦めるつもりなんてないからね。何が何でも、私たちの歌を届けるんだから！待ってて、みんな！,,めぐちゃんがいれば、だいじょーぶ！,メリクリ～,慈「ほーら！もっときゅるるんって！」さやか「ハ、ハロさやー...！」,可愛い可愛い、サンタだよ？
藤島慈,UR,ハッピー至上主義！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8F%E3%83%83%E3%83%94%E3%83%BC%E8%87%B3%E4%B8%8A%E4%B8%BB%E7%BE%A9%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,本日の天気は、晴れときどきチョコレート！みらぱのミッション、大成功！これすっごい楽しかったから、またやりたいなー。次は白とピンクのジェット機を借りて、世界中の空で！,,ハッピー極めちゃお！,天然だもーん。,慈「世界中を夢中...の前にるりちゃんを夢中に！」瑠璃乃「ルリはずっと、めぐちゃんに夢中だよ！」,花帆ちゃん、乗り込めー！
藤島慈,UR,KEY of Like！,https://wikiwiki.jp/llll_wiki/%EF%BC%BBKEY%20of%20Like%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,ありがとう、ママ。……愛してるよ！私ね、この3年間、立ち止まったり回り道もしたけど。辛いことも、苦しいことも、悲しいことも、嫌なこともあったけど。全部全部、置き去りにしてここまで走ってこれたから。私の目にはもう、今は晴れ空しか見えないんだよ、ママ！,,行くよ、みんな～！世界中を、夢中に！,まだまだ声出せるでしょー！,慈「私の親友、夕霧綴理！」綴理「めぐ、ボクの親友！」,いつだってこの瞬間が、一番最高なんだから！
藤島慈,UR,全方位キュン♡,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%85%A8%E6%96%B9%E4%BD%8D%E3%82%AD%E3%83%A5%E3%83%B3%E2%99%A1%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,キミがキュンキュンするものは、なあに？配信、ライブ、ゲーム、コスメ、そんで釣りも！ふふっ！ でもやっぱり、一番キュンキュンするのって、私たち？だよね！結局さ、何が最高って、出会えたこと。それっきゃないじゃん？つまりそういうこと。そういう歌ってこと！,,もう逃げ場はないぞ。覚悟しろー！,ズッキュン！それとも、バッキュン？,慈「後のことは、わかってるね！」姫芽「るりちゃんせんぱいの可愛さを、世界に～！」,投げキッスで仕留めて、あ・げ・る♡
藤島慈,UR,抱きしめる花びら,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E6%8A%B1%E3%81%8D%E3%81%97%E3%82%81%E3%82%8B%E8%8A%B1%E3%81%B3%E3%82%89%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,藤島慈！一年生！タレントやってましたー！スクールアイドルってあんまり良く分かんないんですけどー、まぁ暇つぶしならやってもいいかなーって。あ、私の邪魔をしないならなんでもいいでーす！,,私たちからのラブレター、だよっ,泣いていいよ？先輩,慈「ありがとう。みんな同じ、でしょ」綴理「うん、ありがとう、めぐ」,行きなよ。未来が待ってるよ
藤島慈,UR,いつでも、いつまでも,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%84%E3%81%A4%E3%81%A7%E3%82%82%E3%80%81%E3%81%84%E3%81%A4%E3%81%BE%E3%81%A7%E3%82%82%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,104期みらくらぱーく！、永久保存版！ はい、チーズ！いやー楽しかったなあー。遊園地もそうだけど、この1年間、ね。私がるりちゃんと組んでたユニットに、姫芽ちゃんが加わって、どんどん賑やかになって。おもちゃ箱をひっくり返したみたいに、毎日がお祭り騒ぎ。ほんっと、退屈な暇なんて、一秒もなくてさ。……さすがにね、後ろ髪引かれちゃうよ。でも、私が一番笑ってやんなきゃね。じゃないと笑えないでしょ？ あの子達が。世話が焼けるんだからね！ ほんとにね！,,それじゃあまた会おうね、必ずだよ！,夢を叶えに！,慈「ほーら、るりちゃん、姫芽ちゃん！」瑠璃乃「ぎゅぎゅっとくっついて！」姫芽「ふぁぁぁぁ～……！、はい、チーズ、です～……！」,ずっとずっと、愛してるからね！
藤島慈,UR,約束の舞踏会,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E7%B4%84%E6%9D%9F%E3%81%AE%E8%88%9E%E8%B8%8F%E4%BC%9A%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,たまには私が、着せ替え人形？　んもう、言われなくたって大人しくしてますってば。二人がどんなふうにコーディネイトしてくれるのか興味あるし。でも、たまにはいいね、こういうのも。いっぱいお世話してもらって、まるでお姫様気分、ってやつ？,,プリンセスのステージだよ！,一緒に踊りましょう？,慈「私やっぱり...お姫様だったのかも！」梢「あの子達のおかげね。」綴理「ボクもお姫様だったー？」,とっても楽しい夜にしましょうね！
藤島慈,UR,久遠の銀河へ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%B9%85%E9%81%A0%E3%81%AE%E9%8A%80%E6%B2%B3%E3%81%B8%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,あの星を目指して、104期みらくらぱーく！、行こう！目指せ、ラブライブ！優勝！、ってね。スクールアイドルなんて、真面目にやるつもりなかったのに、いつの間にか私も、こんなところまで来ちゃった。三年間、なんだかあっという間だったなあ。それじゃ、あと少し。行こうよ、るりちゃん、姫芽ちゃん！ 私達で、世界中を夢中にさせちゃおう！,,蓮ノ大三角、藤島慈！ よろしくね！,めぐちゃんこそが、一番星！,慈「愛してるよ、親友！」綴理「ボクもだよ、めぐ」梢「私も……愛してる……わ」,世界のどこにいても、私を見つけてね！
藤島慈,UR,Dream Believers,https://wikiwiki.jp/llll_wiki/%EF%BC%BBDream%20Believers%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,世界中のみんな、今日も一緒に、ハロめぐ～！レディースアンドジェントルマン！*1ここは私、藤島慈が園長を務める遊園地、みらくらぱーく！みんながいつだって胸弾む毎日を、お届けしちゃうよ！,,今日はめぐちゃんのスペシャルライブ！,みんなを夢中にさせてあげる！,慈「るりめぐオンステージ！」瑠璃乃「はっじまっるよー！」,私達のこと、いっぱい愛してね！
藤島慈,UR,ハクチューアラモード,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%8F%E3%82%AF%E3%83%81%E3%83%A5%E3%83%BC%E3%82%A2%E3%83%A9%E3%83%A2%E3%83%BC%E3%83%89%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,ふっふっふ…私に食べられたい子はだーれ？ゆめかわお茶会の準備！じゅーんび♡こっちは私の好きなものー♪こっちはるりちゃんの好きなやつでー…。あ、こっちもるりちゃんの好きなやつだ！お、これもるりちゃんの…ん？バランスおかしいな。ま、いいや！,,恋の味、教えてあげる！,お味はいかが？,慈「世界で2番目に可愛いよ、るりちゃん♪」瑠璃乃「わぁーい！」,アラモードの意味は……なんか可愛い！
藤島慈,UR,ファンファーレ！！！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%95%E3%82%A1%E3%83%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%AC%EF%BC%81%EF%BC%81%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,いい、いい。筋がいいぞよ～。コツコツ練習してて偉いね、姫芽ちゃん。みんなギター弾けるようになったら、そのうち弾き語りライブとかやってみたくない？ね、とりあえず金沢駅の前とかで！どう？...学校に見つかったら怒られる？ふふっ！それがロックって、ことでしょ？,,対戦よろしく～！,パーンチ！,慈「ん～...まっ！！」姫芽「あぁ！...さよーならぁ...」,いくよ！私の必殺技！
藤島慈,UR,Au Bord du Lac,https://wikiwiki.jp/llll_wiki/%EF%BC%BBAu%20Bord%20du%20Lac%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,じゃあ綴理はー、あの一番大きく光る星で…そういえば梢から聞いたんだけど、春も夏も冬の大三角もさ、それを形作る星は、それぞれ別々の星と星座を作ってるんだって。蓮ノ大三角がスリーズブーケ、DOLLCHESTRA、みらくらぱーく！って星座を描いてるみたいに。なのにちゃんと繋がってるって、なんかいい話だよね。,,描こうか、私たちの星座を！,たまにはエレガントに。,,みらくらティータイムへ、ようこそ！
藤島慈,UR,ツバサ・ラ・リベルテ,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%83%84%E3%83%90%E3%82%B5%E3%83%BB%E3%83%A9%E3%83%BB%E3%83%AA%E3%83%99%E3%83%AB%E3%83%86%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,私は自分が善人じゃないって知ってるわけ。綴理は何かと「めぐは良い人だ」「めぐはやさしい」言うけどさ、そんなことないっつーの。気分屋で、わがままで、自分勝手。それが私。だから、綴理の目に映る私がきれいなのは、そんなの、綴理の心がきれいなんだよ。あんたは本当に、そのままでいなさいよね。いつまでも、さ。,,天使の翼で、羽ばたくよ！,次のステージへ！,,私たちの輝きが、ほら、見える？
藤島慈,UR,蓮ノ空歌留多,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E8%93%AE%E3%83%8E%E7%A9%BA%E6%AD%8C%E7%95%99%E5%A4%9A%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,あ、キミも来たんだ。寒いでしょ？あったまってこ？ふふっ、どうかしら、お着物姿の藤島さんは？そうなのよね～、わたくし、お上品な装いも似合ってしまいますの～。はあ～、困りましたわね～。,,今年の干支はめぐちゃん！私が決めた！,ハッピーニューめぐちゃーん！,,私からのお年玉、あ・げ・る☆
藤島慈,UR,おしえて♡ティーチャー,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%8A%E3%81%97%E3%81%88%E3%81%A6%E2%99%A1%E3%83%86%E3%82%A3%E3%83%BC%E3%83%81%E3%83%A3%E3%83%BC%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,口が回るなーこんなときばっかり。てゆーかさー優等生？勉強が得意なんだったら私の代わりにテスト受けてよー？本当に好きならいくらでもできるでしょ？それがいやだってことは実はたいして好きじゃないってことなんだよ！私と同じじゃん！え、なに？こんな時ばかり口が回るわね？ぐぅ、今にみてろよー！,,先生と一緒に遊ぼ？,勉強なんてぽーい。,,悪いことも教えちゃうぞ？
藤島慈,UR,みらくりえーしょん,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%81%BF%E3%82%89%E3%81%8F%E3%82%8A%E3%81%88%E3%83%BC%E3%81%97%E3%82%87%E3%82%93%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,はい、ポーズ！ がおー！見て見てー！ はい、かわいい。あざとー。皆さんよく似合ってますねー。ほらほら、次は吟子ちゃん真ん中で撮ろう？…え、恥ずかしいー？ 何言ってるの、かわいいの探求は、スクールアイドルとしての使命だよ！ 梢だってほら、あんなに。ぷぷぷ。……ごめん、何でもない！ よーし、だったら慣れるためにー、吟子ちゃん撮影会、あと300枚くらい、いっちゃいますか！,,見せてあ・げ・る♡,バンバン！,,UR藤島慈、だよ！
藤島慈,SR,Trick & Cute,https://wikiwiki.jp/llll_wiki/%EF%BC%BBTrick%20%EF%BC%86%20Cute%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,,,,,,
藤島慈,SR,Link to the FUTURE,https://wikiwiki.jp/llll_wiki/%EF%BC%BBLink%20to%20the%20FUTURE%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,うっ…うぇぇ…冬ってこんなに寒かったっけ…。ごめん、るりちゃん。ここは二人の思い出の徳光海岸じゃないよ。私こんなとこ知らない。ここじゃ、私はかわいさを保てないから…。ごめんね、るりちゃん。るりちゃんと過ごした時間、とっても楽しかったよ…。,,叶えようね、大ハッピーエンド！,ときめいちゃえ～。,,愛の結晶、受け取って！
藤島慈,SR,M's One Day,https://wikiwiki.jp/llll_wiki/%EF%BC%BBM%27s%20One%20Day%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,スクールアイドルの新人さん、頑張ってね。真新しい衣装に身を包んで、どこか緊張した顔でステージに上がってさ。懐かしいよね。去年は私も周りからはこんな風に見られていたのかなぁ？,,今日のお相手はめぐにゃん！,にゃにゃーん♪,,魅力爆発にゃん！
藤島慈,SR,@いっつぁどりーみんわーるど！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%40%E3%81%84%E3%81%A3%E3%81%A4%E3%81%81%E3%81%A9%E3%82%8A%E3%83%BC%E3%81%BF%E3%82%93%E3%82%8F%E3%83%BC%E3%82%8B%E3%81%A9%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,それじゃあまた、次の配信で。バイめぐ～！…梢と綴理、二人とも頑張って前に進んでいる。私はここで、いつまでも配信をしていくのかな。もしるりちゃんが帰ってきたら、私は…。,,私達の世界に、ご招待！,何が出るかな？,,一緒なら、空も飛べるはずだよ！
藤島慈,SR,世界中を夢中に,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E4%B8%96%E7%95%8C%E4%B8%AD%E3%82%92%E5%A4%A2%E4%B8%AD%E3%81%AB%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,いけー！今なんだ！いけえええ！どうして、私があそこに立っていないんだろう…って、ステージで頑張るるりちゃんを見たら自然とね、足が動いてたんだ。,,スクールアイドルクラブ、愛しているぞ♡,走り出すとき…それは、今だよ！めぐちゃんダーッシュ！,,みんな、ただいまだよ！
藤島慈,SR,ゆのくにガールズ！,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%86%E3%81%AE%E3%81%8F%E3%81%AB%E3%82%AC%E3%83%BC%E3%83%AB%E3%82%BA%EF%BC%81%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,えーと、加賀温泉郷と言えば……。なんとその歴史は1300年！数多くの歴史的な人物が足を運んだって言うんだから、すごいよねー。私たちのお肌もつるつるピカピカになっちゃって、歴史に名を残すような美人になっちゃうかもね！,,終わったら温泉行こう！,ほーら、いい気分！,,のぼせてきちゃったかな？
藤島慈,SR,宇宙演舞☆うさぴょん,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E5%AE%87%E5%AE%99%E6%BC%94%E8%88%9E%E2%98%86%E3%81%86%E3%81%95%E3%81%B4%E3%82%87%E3%82%93%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,テロップのフォント、もうちょっと可愛くしたいなー。動画編集の楽しいところ？うーん、やっぱり、見てくれる人のことを考えてる時かな？これってつまり、推し活動なわけ。ほら、可愛いスクールアイドルの姿を見て！見て見て見て見てー！っていう私の叫びをね、いかにみんなに届けるかの勝負なんだよ！,,推しのライブが始まるよー！,ぴょんぴょーん！,,めぐぴょんと一緒に、踊るぴょん！
藤島慈,SR,コットン=ユートピア,https://wikiwiki.jp/llll_wiki/%EF%BC%BB%E3%82%B3%E3%83%83%E3%83%88%E3%83%B3%3D%E3%83%A6%E3%83%BC%E3%83%88%E3%83%94%E3%82%A2%EF%BC%BD%E8%97%A4%E5%B3%B6%E6%85%88,おいち～♡おいちおいち～♡ハロめぐー！今日は蓮ノ空の食堂を紹介しちゃうね！メニューはかな～り充実してて毎日色んなご飯が楽しめるんだー。その中でもめぐちゃんのイチオシはこちら！じゃじゃーん、卵かけごはん♡はん～、しあわへ～♡,,ライブの後は、夢の中で会おうね！,えへへ、楽しいねー！,,大好きなキミのために、頑張る！
